ma,ten_tap_chi,nha_xuat_ban,hang,chi_muc,pham_vi,mo_hinh,phi_dang,do_kho,thoi_gian_thuc_te,nguon_thoi_gian,trang_thai,so_bai_da_nop,so_accept,so_reject,ngay_nop_gan_nhat,bai_dang_xu_ly,mau_bai,ghi_chu,cap_nhat
SNCS,SN Computer Science,Springer Nature,Q2 (SJR 2025),Scopus; ESCI,Khoa học máy tính nói chung; liên ngành,hybrid,Đăng thường miễn phí; chọn mở 3.290 USD,Vừa,,,Đang phản biện,1,0,0,,1 bài đang chờ phân công phản biện,springer-nature-sn-jnl.zip,"Khảo giá 9/2026. IF 2025 khoảng 3,15",2026-09-13
JCTA,Journal of Computing Theories and Applications,Universitas Dian Nuswantoro (Indonesia),Q3 (Scopus),Scopus; DOAJ; SINTA 2,Khoa học máy tính; học máy; an toàn thông tin,free,Miễn phí với tác giả ngoài Indonesia (phí 250.000 IDR chỉ áp cho tác giả Indonesia không có đồng tác giả nước ngoài),Thấp,2 tháng từ nộp đến đăng,tự trải nghiệm,Đã đăng,1,1,0,,,jcta-word.docx,"Quyết định đầu khoảng 1 tuần; vòng phản biện đầu khoảng 4 tuần; xuất bản 4 số/năm (2,5,8,11)",2026-09-13
ACCESS,IEEE Access,IEEE,Q1 (SJR 2025),SCIE; Scopus,Đa ngành kỹ thuật; AI ứng dụng; hệ thống,gold,"2.160 USD; giảm 20% cho hội viên society, 5% cho hội viên IEEE",Thấp,8 ngày (nhận 20/01/2026 - chấp nhận 28/01 - đăng 06/02/2026),hồ sơ Giải thưởng SV 2026 (615-103),Chưa nộp,0,0,0,,,ieee-access-word.docx (Word); bản LaTeX lấy trên Overleaf,Nhanh nhất trong nhóm Q1; đánh giá theo tính đúng đắn kỹ thuật; nên giữ dưới 20 trang,2026-09-13
IBM-ELS,Intelligence-Based Medicine,Elsevier,Q2 (SJR 2025),Scopus,AI trong y sinh; dự đoán liên kết sinh học; hỗ trợ chẩn đoán,gold,Khoảng 1.950-2.050 USD; có giá theo thu nhập quốc gia nên tác giả Việt Nam được giảm,Vừa,5 tuần (nhận 08/02/2026 - chấp nhận 17/03 - đăng 19/03/2026),hồ sơ Giải thưởng SV 2026 (405-103),Chưa nộp,0,0,0,,,elsevier-elsarticle.zip,Lựa chọn nhanh và rẻ nhất cho bài AI y sinh,2026-09-13
ACSS,Applied Computer Systems,Riga Technical University (Latvia),Q3-Q4 (Scopus),Scopus; DOAJ,Hệ thống máy tính; thị giác máy; ứng dụng CNTT,free,Không thu phí,Vừa,3 tháng (nhận 24/02/2026 - chấp nhận 26/05/2026),hồ sơ Giải thưởng SV 2026 (315-103),Chưa nộp,0,0,0,,,Không bắt buộc mẫu riêng; theo hướng dẫn tác giả RTU,Xuất bản liên tục từ 2025; giấy phép CC BY,2026-09-13
ASOC,Applied Soft Computing,Elsevier,Q1 (SJR 2025),SCIE; Scopus,Soft computing; mạng nơ-ron; tiến hóa; logic mờ; ứng dụng,hybrid,Đăng thường miễn phí; chọn mở khoảng 3.350 USD,Cao,4 tháng (nhận 11/02/2026 - chấp nhận 03/06/2026),hồ sơ Giải thưởng SV 2026 (279-102),Chưa nộp,0,0,0,,,elsevier-elsarticle.zip,Đòi hỏi đối chứng rộng với phương pháp hiện đại và nhiều bộ dữ liệu,2026-09-13
NEUCOM,Neurocomputing,Elsevier,Q1 (SJR 2025),SCIE; Scopus,Học sâu; học máy; thị giác; xử lý tín hiệu,hybrid,Đăng thường miễn phí; chọn mở khoảng 2.930 USD,Cao,"4,5 tháng (nhận 27/04/2025 - chấp nhận 10/09/2025)",hồ sơ Giải thưởng SV 2026 (631-103),Chưa nộp,0,0,0,,,elsevier-elsarticle.zip,CCF hạng C; chuộng đóng góp thuật toán rõ ràng,2026-09-13
JNCA,Journal of Network and Computer Applications,Elsevier,Q1 (SJR 2025),SCIE; Scopus,Mạng; IoT; bảo mật hệ phân tán; học liên kết,hybrid,Đăng thường miễn phí; chọn mở khoảng 3.080 USD,Cao,Thư chấp nhận 05/2026 (không rõ ngày nhận bài),hồ sơ Giải thưởng SV 2026 (467-102),Chưa nộp,0,0,0,,,elsevier-elsarticle.zip,"IF khoảng 8,0; cần thực nghiệm hệ thống đầy đủ",2026-09-13
APIN,Applied Intelligence,Springer Nature,Q1 (SJR 2025),SCIE; Scopus,AI ứng dụng; hệ tri thức; NLP; RAG; đồ thị tri thức,hybrid,Đăng thường miễn phí; chọn mở 3.290 USD,Vừa,"6,5 tháng (nhận 31/10/2025 - chấp nhận 16/05/2026)",hồ sơ Giải thưởng SV 2026 (310-102),Chưa nộp,0,0,0,,,springer-nature-sn-jnl.zip,Thường qua 2 vòng sửa,2026-09-13
NCAA,Neural Computing and Applications,Springer Nature,Q1 (SJR 2025),SCIE; Scopus,Mạng nơ-ron ứng dụng; thị giác; phục hồi ảnh,hybrid,Đăng thường miễn phí; chọn mở 3.190 USD,Vừa,"5,5 tháng (nhận 26/04/2025 - chấp nhận 14/10/2025)",hồ sơ Giải thưởng SV 2026 (626-103),Chưa nộp,0,0,0,,,springer-nature-sn-jnl.zip,Chấp nhận bài dung lượng lớn,2026-09-13
BSPC,Biomedical Signal Processing and Control,Elsevier,Q1 (SJR 2025),SCIE; Scopus,Xử lý tín hiệu và ảnh y sinh; AI y tế,hybrid,Đăng thường miễn phí; chọn mở khoảng 3.470 USD,Cao,Khoảng 10 tháng qua 2 vòng sửa (nộp 2025 - chấp nhận 29/06/2026),hồ sơ Giải thưởng SV 2026 (177-103),Chưa nộp,0,0,0,,,elsevier-elsarticle.zip,Phản biện kỹ; hay yêu cầu bổ sung thực nghiệm,2026-09-13
PLOSONE,PLOS ONE,PLOS,Q1 (SJR 2025),SCIE; Scopus,Đa ngành; có mảng khoa học máy tính,gold,2.477 USD; phí khóa theo ngày nộp,Vừa,6 tháng (nhận 23/08/2025 - chấp nhận 23/02/2026 - đăng 11/03/2026),hồ sơ Giải thưởng SV 2026 (67-102),Chưa nộp,0,0,0,,,plos-latex.zip,"Xét theo tính đúng đắn kỹ thuật, không đòi tính mới cao",2026-09-13
PRL,Pattern Recognition Letters,Elsevier,Q2 (SJR 2025),SCIE; Scopus,Nhận dạng mẫu; thị giác máy tính; bài ngắn,hybrid,Đăng thường miễn phí; chọn mở khoảng 2.320 USD,Vừa,"6,5 tháng (nhận 21/11/2025 - chấp nhận 07/06/2026)",hồ sơ Giải thưởng SV 2026 (626-103),Chưa nộp,0,0,0,,,elsevier-elsarticle.zip,Giới hạn số trang; hợp công bố nhanh một ý tưởng,2026-09-13
JVCIR,Journal of Visual Communication and Image Representation,Elsevier,Q2 (SJR 2025),SCIE; Scopus,Ảnh; video; đánh giá chất lượng ảnh,hybrid,Đăng thường miễn phí; chọn mở khoảng 2.510 USD,Vừa,"4,5 tháng (nhận 30/03/2025 - chấp nhận 17/08/2025)",hồ sơ Giải thưởng SV 2026 (626-103),Chưa nộp,0,0,0,,,elsevier-elsarticle.zip,,2026-09-13
PEERJCS,PeerJ Computer Science,PeerJ,Q2 (SJR 2025),Scopus; ESCI,Khoa học máy tính; học máy; giải thích mô hình,gold,Trang chính thức ghi 2.155 USD; một số nguồn còn ghi 1.395 USD - hỏi lại trước khi nộp,Vừa,Chấp nhận 22/04/2026 - đăng 08/06/2026 (khoảng 6 tuần từ chấp nhận đến đăng),hồ sơ Giải thưởng SV 2026 (68-103),Chưa nộp,0,0,0,,,Overleaf: mẫu PeerJ (wlpeerj.cls),Phản biện minh bạch; thân thiện với nhóm mới,2026-09-13
STCO,Statistics and Computing,Springer Nature,Q1 (SJR 2025),SCIE; Scopus,Thống kê tính toán; suy luận sau chọn lọc; học máy có bảo đảm,hybrid,2.890 USD; bài nộp từ 01/7/2026 bắt buộc trả phí; toàn bộ chuyển mở từ 2027,Cao,9 tháng (nhận 09/08/2025 - chấp nhận 30/04/2026),hồ sơ Giải thưởng SV 2026 (466-103),Chưa nộp,0,0,0,,,springer-nature-sn-jnl.zip,Nặng chứng minh lý thuyết,2026-09-13
OPTI,Optimization,Taylor & Francis,Q2 (SJR 2025),SCIE; Scopus,Tối ưu; giải tích biến phân; quy hoạch minimax,hybrid,Đăng thường miễn phí; chỉ trả phí nếu chọn mở,Cao,7 tháng (nhận 01/09/2025 - chấp nhận 05/04/2026 - trực tuyến 13/04/2026),hồ sơ Giải thưởng SV 2026 (676-101),Chưa nộp,0,0,0,,,taylor-francis-interact.tar.gz,Hợp bài toán lý thuyết thuần,2026-09-13
ACOM,Advances in Computational Mathematics,Springer Nature,Q1-Q2 (SJR 2025),SCIE; Scopus,Toán tính toán; thuật toán tách toán tử; tối ưu,hybrid,Đăng thường miễn phí; chọn mở theo bảng giá Springer,Cao,20 tháng (nhận 30/01/2024 - chấp nhận 07/10/2025),hồ sơ Giải thưởng SV 2026 (22-101),Chưa nộp,0,0,0,,,springer-nature-sn-jnl.zip,Rất chậm; chỉ nhắm khi không gấp,2026-09-13
JASE,Journal of Applied Science and Engineering,Tamkang University (Đài Loan),Q3-Q4 (Scopus),Scopus,Kỹ thuật ứng dụng; dự báo chuỗi thời gian; học máy,gold,Cần kiểm tra lại trước khi nộp,Thấp,6 tháng (nhận 29/04/2025 - chấp nhận 26/10/2025),hồ sơ Giải thưởng SV 2026 (643-103),Chưa nộp,0,0,0,,,Mẫu Word trên trang tạp chí,Phù hợp bài dự báo ứng dụng; hạng thấp,2026-09-13
AIMSE,AIMS Energy,AIMS Press,Q2-Q3 (SJR 2025),Scopus; ESCI,Năng lượng tái tạo; dự báo gió và mặt trời bằng học máy,gold,Khoảng 500 USD,Vừa,"3,5 tháng (nhận 18/10/2025 - chấp nhận 05/02/2026 - đăng 16/03/2026)",hồ sơ Giải thưởng SV 2026 (643-103),Chưa nộp,0,0,0,,,Mẫu của AIMS Press trên trang tạp chí,Phí thấp; hợp bài AI cho năng lượng,2026-09-13
